Loyalty Points Redeemed,Puntos de Lealtad Redimidos
Gift Card Redeemed,Tarjetas de Regalo Redimidas
Validate Base URL,Validar URL Base
12 Hours,12 Horas
24 Hours,24 Horas
Valid till,Válido hasta
Minimum Qty :,Cantidad mínima:
Avail %1 Off,Disponible %1 descuentos
Click Here to see the items,Click para mostrar artículos
if Buy with any of these items:,si compra cualquiera de estos productos:
Expiry :,Expiración:
Coupon Code :,Código Cupón:
Closed,Cerrado
Special,Especial
Order request has been sent to LS Central successfully,La órden se ha enviado a LS Central con éxito
Something terrible happened while placing order %1,Ha ocurrido un error al crear la órden %1
The service is currently unavailable. Please try again later.,El servicio esta fuera de servicio. Inténtelo de nuevo más tarde
Please select your hierarchy code,Por favor seleccione el código de jerarquía
No hierarchy code found for the selected store,No se ha seleccionado un código de jerarquía
Please select your web store,Por favor selecciona una tienda web
No store found for entered omni api url,No se encontró una tienda para el url del API del omni
The gift card code %1 is not valid.,El código de la tárjeta de regalo %1 no es válido.
You have successfully cancelled the gift card.,Ha cancelado su tárjeta de regalo con éxitoThe applied amount %3 is greater than gift card balance amount (%1) or it is greater than order balance (Excl. Shipping Amount) (%2).
The applied amount %3 is greater than gift card balance amount (%1) or it is greater than order balance (Excl. Shipping Amount) (%2).,El monto aplicado %3 es mayor al balance de la tárjeta de regalo (%1) o es mayor al balance de la orden (Sin Costo Envío)(%2).
"The gift card amount ""%1"" is not valid.",El monto de la tárjeta de regalo ¨%1¨ no es válido.
Totals calculation is not applicable to empty cart.,El cálculo del total no sé puede hacer en un carrito vacío.
Customer session not found.,Sesión del cliente no encontrada.
"The loyalty points ""%1"" are not valid.",Puntos de Lealtad ¨%1¨no son válidos.
"The gift card Amount ""%1"" is not valid.",El monto de la tárjeta de regalo ¨%1¨ no es válido.
"You have used ""%1"" amount from gift card.",Ha utilizado ¨%1¨de su tárjeta de regalo.
Gift Card cannot be applied.,Tárjeta de Regalo no se puede aplicar.
"You have redeemed ""%1"" loyalty points.",Ha rediminto ¨%1¨puntos de lealtad.
The loyalty points can't be redeemed.,Los puntos de lealtad no se pueden redimir.
You have successfully canceled the points redemption.,Ha cancelado correctamente el canje de puntos.
We cannot redeem the points.,No podemos canjear sus puntos.
Check Your Gift Card Balance,Revisar balance tárjeta de regalo.
Notice,Aviso
This item is only available online.,Este producto sólamente esta disponible online.
Please check other stores or remove the not available item(s) from your,Por favor revise otra tienda o elimine el producto no disponible
This item is available,El producto esta disponible
"You have selected %1 quantity for this item.
                                 We only have %2 quantity available in stock for this store.
                                 Please update this item quantity in cart.","Ha seleccionado %1 para este producto.
                                 Solamente tenemos %2 disponibles.
                                 Porfavor selecciona otra cantidad de artículos."
This item is not available,Este producto no esta disponible
Oops! Unable to do stock lookup currently.,¡Oops! No es pósible revistar el stock en este momento.
Our Stores,Nuestras Tiendas
Coupon Code is not valid for these item(s),El código de cupón no es valido para estos productos
Reset password token expired.,El token para reiniciar contraseña ha expirado
"The gift card amount ""%1"" and loyalty points ""%2"" are not valid.","La  tarjeta de regalo por ""%1"" y los puntos de lealtad ""%2"" no son validos."
Save,Guardar
Products,Productos
SKU,SKU
Qty,Cantidad
